Logical Quotient Rating,Coding Skills Rating,Communication Skills Rating,Self-learning Capability?,Worked in teams ever?,Reading and Writing Skills,Memory Capability Score,Hard/Smart worker,Management or Technical,Certifications,Interested Subjects,Workshops,Type of Company want to settle in?,Interested Career Area,Suggested Job Role
9,7,7,yes,no,excellent,poor,hard worker,Management,r programming,distributed computing,database security,Service Based,developer,Software Quality Assurance (QA) / Testing
1,6,9,no,no,medium,medium,smart worker,Technical,hadoop,IOT,game development,Service Based,developer,Software Quality Assurance (QA) / Testing
6,1,5,no,no,poor,poor,smart worker,Technical,r programming,networks,AWS,Web Services,security,Software Quality Assurance (QA) / Testing
2,9,2,yes,yes,poor,excellent,smart worker,Technical,machine learning,distributed computing,AWS,Service Based,system developer,Software Quality Assurance (QA) / Testing
9,2,7,yes,yes,poor,medium,smart worker,Management,information security,networks,testing,Finance,system developer,Software Quality Assurance (QA) / Testing
2,8,4,yes,yes,medium,medium,smart worker,Technical,app development,Software Engineering,game development,BPA,developer,Software Quality Assurance (QA) / Testing
6,7,4,no,no,medium,medium,smart worker,Technical,hadoop,distributed computing,ethical hacking,Web Services,testing,Software Quality Assurance (QA) / Testing
1,3,5,no,no,excellent,medium,smart worker,Technical,full stack,data engineering,database security,SAaS services,system developer,Software Quality Assurance (QA) / Testing
3,5,4,yes,no,medium,excellent,hard worker,Technical,python,IOT,ethical hacking,Cloud Services,testing,Software Quality Assurance (QA) / Testing
8,9,3,yes,yes,excellent,medium,smart worker,Management,r programming,data engineering,data science,Cloud Services,security,Software Quality Assurance (QA) / Testing
1,4,1,yes,no,medium,excellent,hard worker,Management,shell programming,programming,web technologies,Testing and Maintainance Services,testing,Software Quality Assurance (QA) / Testing
3,2,3,yes,yes,medium,poor,hard worker,Technical,app development,networks,testing,Service Based,testing,Software Quality Assurance (QA) / Testing
2,5,1,no,no,medium,excellent,smart worker,Management,machine learning,networks,game development,BPA,system developer,Software Quality Assurance (QA) / Testing
1,6,1,no,yes,poor,poor,hard worker,Management,shell programming,distributed computing,web technologies,product development,cloud computing,Software Quality Assurance (QA) / Testing
3,6,4,no,yes,medium,poor,hard worker,Management,information security,Management,web technologies,Product based,Business process analyst,Software Quality Assurance (QA) / Testing
2,1,5,yes,no,poor,medium,smart worker,Management,full stack,hacking,data science,Sales and Marketing,cloud computing,Software Quality Assurance (QA) / Testing
9,5,3,yes,yes,excellent,poor,hard worker,Technical,distro making,networks,data science,BPA,system developer,Software Quality Assurance (QA) / Testing
3,6,8,no,yes,excellent,poor,smart worker,Technical,full stack,programming,system designing,Testing and Maintainance Services,security,Software Quality Assurance (QA) / Testing
6,6,1,yes,yes,medium,excellent,hard worker,Management,r programming,Software Engineering,web technologies,BPA,cloud computing,Software Quality Assurance (QA) / Testing
8,4,5,yes,yes,poor,medium,smart worker,Management,machine learning,parallel computing,game development,SAaS services,Business process analyst,Software Quality Assurance (QA) / Testing
1,5,1,yes,yes,medium,poor,hard worker,Management,r programming,parallel computing,ethical hacking,Product based,developer,Software Quality Assurance (QA) / Testing
1,4,3,no,no,excellent,medium,smart worker,Management,distro making,Management,system designing,BPA,testing,Software Quality Assurance (QA) / Testing
4,3,8,yes,no,excellent,medium,smart worker,Management,python,hacking,data science,BPA,system developer,Software Quality Assurance (QA) / Testing
8,2,8,no,yes,medium,medium,smart worker,Technical,r programming,distributed computing,AWS,Web Services,cloud computing,Software Quality Assurance (QA) / Testing
1,9,6,yes,yes,medium,excellent,hard worker,Technical,r programming,programming,web technologies,BPA,security,Software Quality Assurance (QA) / Testing
7,3,4,no,yes,medium,poor,hard worker,Management,python,IOT,system designing,Testing and Maintainance Services,developer,Software Quality Assurance (QA) / Testing
7,7,2,yes,no,poor,excellent,smart worker,Technical,distro making,parallel computing,data science,Cloud Services,testing,Software Quality Assurance (QA) / Testing
7,3,2,no,yes,poor,poor,hard worker,Management,distro making,parallel computing,system designing,Sales and Marketing,cloud computing,Software Quality Assurance (QA) / Testing
8,8,7,yes,no,poor,medium,smart worker,Management,python,Management,data science,Testing and Maintainance Services,developer,Software Quality Assurance (QA) / Testing
8,6,8,yes,yes,poor,medium,smart worker,Technical,full stack,distributed computing,ethical hacking,Web Services,system developer,Software Quality Assurance (QA) / Testing
7,9,4,yes,yes,medium,poor,smart worker,Management,information security,programming,web technologies,BPA,security,Software Quality Assurance (QA) / Testing
3,3,5,no,no,excellent,excellent,hard worker,Management,python,Software Engineering,testing,SAaS services,system developer,Software Quality Assurance (QA) / Testing
4,8,9,no,yes,medium,poor,smart worker,Management,shell programming,Computer Architecture,web technologies,SAaS services,system developer,Software Quality Assurance (QA) / Testing
2,4,2,yes,yes,poor,poor,smart worker,Technical,shell programming,hacking,system designing,Cloud Services,developer,Software Quality Assurance (QA) / Testing
3,1,5,no,no,poor,medium,hard worker,Technical,machine learning,Computer Architecture,web technologies,Sales and Marketing,system developer,Software Quality Assurance (QA) / Testing
6,2,7,yes,no,excellent,poor,hard worker,Management,shell programming,programming,game development,product development,developer,Software Quality Assurance (QA) / Testing
5,5,4,no,no,poor,excellent,hard worker,Technical,python,Management,database security,Sales and Marketing,system developer,Software Quality Assurance (QA) / Testing
2,6,1,no,no,poor,poor,smart worker,Technical,hadoop,IOT,database security,product development,developer,Software Quality Assurance (QA) / Testing
7,3,9,no,no,poor,excellent,smart worker,Management,full stack,Computer Architecture,web technologies,product development,cloud computing,Software Quality Assurance (QA) / Testing
7,5,7,yes,no,medium,excellent,smart worker,Management,r programming,Computer Architecture,database security,Product based,Business process analyst,Software Quality Assurance (QA) / Testing
8,2,1,yes,no,medium,medium,smart worker,Technical,app development,networks,system designing,Cloud Services,cloud computing,Software Quality Assurance (QA) / Testing
1,1,2,yes,yes,excellent,poor,smart worker,Management,distro making,distributed computing,data science,product development,developer,Software Quality Assurance (QA) / Testing
4,8,4,no,yes,poor,poor,hard worker,Management,hadoop,IOT,web technologies,Product based,Business process analyst,Software Quality Assurance (QA) / Testing
5,8,7,yes,yes,medium,medium,smart worker,Management,machine learning,Software Engineering,data science,SAaS services,Business process analyst,Software Quality Assurance (QA) / Testing
1,4,6,yes,no,medium,excellent,hard worker,Management,hadoop,Software Engineering,game development,Cloud Services,security,Software Quality Assurance (QA) / Testing
2,8,7,no,no,poor,poor,hard worker,Management,full stack,IOT,game development,Web Services,developer,Software Quality Assurance (QA) / Testing
8,6,3,no,no,excellent,poor,smart worker,Management,distro making,Software Engineering,data science,Cloud Services,system developer,Software Quality Assurance (QA) / Testing
5,1,5,no,no,medium,poor,hard worker,Management,full stack,Management,web technologies,Sales and Marketing,testing,Software Quality Assurance (QA) / Testing
1,2,3,yes,yes,medium,poor,smart worker,Technical,hadoop,IOT,game development,Sales and Marketing,testing,Software Quality Assurance (QA) / Testing
6,2,7,no,yes,medium,excellent,hard worker,Technical,information security,Software Engineering,database security,Sales and Marketing,cloud computing,Software Quality Assurance (QA) / Testing
4,6,1,no,no,poor,excellent,smart worker,Technical,machine learning,Management,AWS,Product based,developer,Software Quality Assurance (QA) / Testing
6,4,1,yes,no,medium,poor,hard worker,Technical,machine learning,programming,database security,Cloud Services,system developer,Software Quality Assurance (QA) / Testing
2,1,6,no,yes,poor,medium,smart worker,Technical,machine learning,Software Engineering,testing,Finance,system developer,Software Quality Assurance (QA) / Testing
9,6,7,yes,no,medium,medium,smart worker,Management,full stack,parallel computing,testing,Cloud Services,security,Software Quality Assurance (QA) / Testing
1,6,3,yes,yes,excellent,poor,hard worker,Technical,distro making,Software Engineering,database security,Cloud Services,Business process analyst,Software Quality Assurance (QA) / Testing
5,8,4,yes,no,poor,medium,hard worker,Technical,machine learning,data engineering,ethical hacking,Finance,system developer,Software Quality Assurance (QA) / Testing
2,6,5,yes,yes,medium,excellent,hard worker,Management,app development,Computer Architecture,ethical hacking,Service Based,security,Software Quality Assurance (QA) / Testing
2,9,8,yes,yes,medium,excellent,smart worker,Technical,app development,hacking,testing,Product based,system developer,Software Quality Assurance (QA) / Testing
5,9,1,no,no,excellent,medium,hard worker,Management,shell programming,data engineering,ethical hacking,Product based,cloud computing,Software Quality Assurance (QA) / Testing
7,7,3,no,yes,excellent,medium,hard worker,Technical,machine learning,data engineering,game development,BPA,testing,Software Quality Assurance (QA) / Testing
4,4,5,no,no,poor,poor,smart worker,Management,information security,Management,game development,product development,developer,Software Quality Assurance (QA) / Testing
5,2,6,yes,no,poor,excellent,hard worker,Technical,information security,networks,database security,Service Based,cloud computing,Software Quality Assurance (QA) / Testing
3,5,6,yes,no,medium,medium,smart worker,Management,app development,networks,data science,Service Based,Business process analyst,Software Quality Assurance (QA) / Testing
2,8,2,yes,yes,excellent,medium,hard worker,Technical,hadoop,distributed computing,game development,product development,security,Software Quality Assurance (QA) / Testing
4,7,5,yes,no,poor,medium,smart worker,Management,hadoop,data engineering,web technologies,product development,security,Software Quality Assurance (QA) / Testing
2,4,6,yes,yes,medium,excellent,hard worker,Management,hadoop,Software Engineering,database security,BPA,security,Software Quality Assurance (QA) / Testing
7,9,8,no,no,medium,medium,smart worker,Management,app development,networks,system designing,Finance,system developer,Software Quality Assurance (QA) / Testing
4,9,5,no,yes,medium,medium,smart worker,Management,full stack,IOT,web technologies,Testing and Maintainance Services,cloud computing,Software Quality Assurance (QA) / Testing
1,7,5,yes,no,poor,excellent,hard worker,Management,machine learning,programming,web technologies,BPA,cloud computing,Software Quality Assurance (QA) / Testing
5,3,7,yes,no,poor,medium,smart worker,Management,machine learning,Computer Architecture,system designing,Cloud Services,Business process analyst,Software Quality Assurance (QA) / Testing
9,7,4,yes,yes,poor,excellent,hard worker,Management,full stack,IOT,AWS,product development,system developer,Software Quality Assurance (QA) / Testing
6,2,7,yes,yes,poor,excellent,hard worker,Management,python,programming,database security,SAaS services,security,Software Quality Assurance (QA) / Testing
5,8,6,no,no,poor,medium,hard worker,Management,machine learning,Computer Architecture,data science,Service Based,Business process analyst,Software Quality Assurance (QA) / Testing
9,8,9,no,yes,excellent,poor,smart worker,Technical,python,IOT,game development,Sales and Marketing,testing,Software Quality Assurance (QA) / Testing
3,7,7,no,no,excellent,poor,hard worker,Management,full stack,Software Engineering,web technologies,Cloud Services,Business process analyst,Software Quality Assurance (QA) / Testing
3,7,3,no,no,medium,poor,hard worker,Management,python,IOT,testing,Finance,system developer,Software Quality Assurance (QA) / Testing
6,3,3,yes,no,excellent,medium,hard worker,Technical,distro making,networks,ethical hacking,Testing and Maintainance Services,system developer,Software Quality Assurance (QA) / Testing
6,9,8,no,yes,medium,excellent,hard worker,Management,machine learning,programming,data science,Service Based,security,Software Quality Assurance (QA) / Testing
9,6,2,yes,no,poor,excellent,smart worker,Technical,information security,hacking,AWS,Web Services,system developer,Systems Security Administrator
6,1,2,yes,yes,poor,excellent,hard worker,Management,hadoop,programming,testing,SAaS services,testing,Systems Security Administrator
8,6,3,yes,yes,medium,medium,hard worker,Management,app development,hacking,database security,Service Based,testing,Systems Security Administrator
1,2,8,yes,yes,excellent,poor,hard worker,Management,hadoop,Software Engineering,web technologies,Product based,developer,Systems Security Administrator
5,5,8,yes,yes,medium,medium,hard worker,Management,app development,networks,AWS,Product based,system developer,Systems Security Administrator
6,4,4,yes,no,excellent,poor,hard worker,Management,full stack,programming,web technologies,product development,security,Systems Security Administrator
8,8,4,no,no,excellent,poor,smart worker,Technical,distro making,parallel computing,system designing,BPA,system developer,Systems Security Administrator
1,8,7,no,no,medium,medium,smart worker,Technical,r programming,networks,system designing,Service Based,developer,Systems Security Administrator
9,8,2,yes,no,poor,poor,hard worker,Technical,app development,distributed computing,AWS,Service Based,cloud computing,Systems Security Administrator
6,9,9,yes,yes,medium,excellent,smart worker,Management,shell programming,Software Engineering,web technologies,Web Services,Business process analyst,Systems Security Administrator
7,6,8,yes,yes,poor,medium,hard worker,Management,information security,parallel computing,testing,Cloud Services,testing,Systems Security Administrator
1,4,3,yes,no,medium,medium,smart worker,Management,app development,parallel computing,testing,Service Based,cloud computing,Systems Security Administrator
8,8,6,yes,yes,poor,poor,smart worker,Management,r programming,data engineering,data science,Finance,cloud computing,Systems Security Administrator
4,1,6,no,yes,excellent,poor,hard worker,Management,python,data engineering,testing,BPA,Business process analyst,Systems Security Administrator
7,4,8,no,no,medium,poor,smart worker,Technical,hadoop,programming,database security,Product based,system developer,Systems Security Administrator
5,2,3,yes,no,poor,medium,smart worker,Management,full stack,IOT,system designing,Cloud Services,security,Systems Security Administrator
7,9,2,no,no,poor,poor,smart worker,Management,machine learning,Computer Architecture,data science,BPA,cloud computing,Systems Security Administrator
6,7,2,yes,no,medium,excellent,hard worker,Management,information security,hacking,web technologies,Cloud Services,testing,Systems Security Administrator
8,3,2,yes,no,medium,excellent,smart worker,Technical,hadoop,data engineering,data science,Sales and Marketing,cloud computing,Systems Security Administrator
4,2,9,yes,no,medium,medium,hard worker,Technical,r programming,programming,game development,SAaS services,Business process analyst,Systems Security Administrator
8,5,7,no,no,medium,poor,hard worker,Technical,information security,hacking,game development,Web Services,system developer,Systems Security Administrator
4,1,8,yes,no,excellent,medium,smart worker,Technical,app development,Management,game development,Cloud Services,cloud computing,Systems Security Administrator
2,9,8,yes,no,medium,medium,smart worker,Management,hadoop,Software Engineering,ethical hacking,Web Services,testing,Systems Security Administrator
9,4,4,no,no,medium,excellent,hard worker,Technical,information security,Software Engineering,game development,product development,developer,Systems Security Administrator
5,5,8,yes,yes,poor,poor,smart worker,Technical,full stack,networks,database security,Service Based,developer,Systems Security Administrator
1,6,2,yes,yes,poor,excellent,smart worker,Management,app development,Software Engineering,ethical hacking,Product based,system developer,Systems Security Administrator
5,9,6,no,yes,excellent,medium,hard worker,Management,app development,networks,system designing,SAaS services,testing,Systems Security Administrator
9,2,8,no,no,medium,excellent,smart worker,Management,hadoop,networks,database security,Sales and Marketing,security,Systems Security Administrator
8,1,6,yes,yes,excellent,medium,hard worker,Management,r programming,hacking,system designing,Finance,Business process analyst,Systems Security Administrator
3,4,1,yes,no,medium,excellent,smart worker,Technical,information security,parallel computing,testing,Sales and Marketing,developer,Systems Security Administrator
7,3,1,yes,no,excellent,excellent,smart worker,Technical,hadoop,hacking,system designing,Sales and Marketing,testing,Systems Security Administrator
3,1,2,yes,no,medium,poor,smart worker,Technical,app development,IOT,system designing,product development,cloud computing,Systems Security Administrator
7,9,9,no,no,medium,poor,smart worker,Technical,r programming,programming,data science,Finance,developer,Systems Security Administrator
4,8,9,no,no,excellent,poor,hard worker,Management,full stack,distributed computing,game development,Web Services,developer,Systems Security Administrator
4,3,3,no,yes,medium,medium,hard worker,Technical,app development,data engineering,testing,product development,security,Systems Security Administrator
8,6,5,no,yes,excellent,excellent,hard worker,Management,python,Software Engineering,testing,product development,testing,Systems Security Administrator
9,6,2,no,no,poor,poor,hard worker,Technical,python,Computer Architecture,data science,Testing and Maintainance Services,Business process analyst,Systems Security Administrator
7,4,9,yes,no,medium,poor,hard worker,Management,distro making,parallel computing,system designing,Product based,security,Systems Security Administrator
4,6,1,yes,no,excellent,medium,smart worker,Management,information security,Software Engineering,game development,Testing and Maintainance Services,Business process analyst,Systems Security Administrator
2,2,5,no,no,medium,excellent,hard worker,Technical,hadoop,programming,ethical hacking,Sales and Marketing,system developer,Systems Security Administrator
4,8,9,no,no,poor,poor,hard worker,Technical,machine learning,networks,ethical hacking,Service Based,cloud computing,Systems Security Administrator
5,1,9,no,no,excellent,excellent,hard worker,Management,app development,Software Engineering,ethical hacking,Product based,security,Systems Security Administrator
5,7,4,no,no,medium,medium,hard worker,Technical,full stack,IOT,system designing,Testing and Maintainance Services,cloud computing,Systems Security Administrator
3,4,6,yes,no,medium,medium,smart worker,Management,machine learning,programming,game development,SAaS services,developer,Systems Security Administrator
2,7,8,no,no,poor,excellent,hard worker,Management,information security,parallel computing,web technologies,Service Based,Business process analyst,Systems Security Administrator
8,3,2,no,yes,medium,poor,hard worker,Technical,full stack,distributed computing,ethical hacking,SAaS services,system developer,Systems Security Administrator
8,2,6,yes,no,medium,excellent,smart worker,Technical,app development,hacking,database security,Cloud Services,testing,Systems Security Administrator
3,3,4,no,yes,excellent,excellent,hard worker,Management,shell programming,programming,ethical hacking,BPA,developer,Systems Security Administrator
2,7,9,no,yes,medium,poor,smart worker,Management,python,data engineering,data science,SAaS services,security,Systems Security Administrator
3,6,3,no,yes,excellent,medium,smart worker,Technical,distro making,Management,database security,Product based,security,Systems Security Administrator
7,8,8,yes,yes,excellent,excellent,smart worker,Management,full stack,data engineering,testing,product development,developer,Systems Security Administrator
1,9,9,yes,yes,excellent,poor,smart worker,Technical,app development,Software Engineering,AWS,SAaS services,developer,Systems Security Administrator
7,5,6,no,no,poor,poor,smart worker,Management,full stack,networks,ethical hacking,Service Based,testing,Systems Security Administrator
4,2,1,no,no,excellent,poor,hard worker,Technical,app development,distributed computing,database security,Sales and Marketing,security,Systems Security Administrator
5,2,9,no,yes,medium,medium,smart worker,Management,r programming,networks,testing,Service Based,security,Systems Security Administrator
6,5,7,yes,yes,poor,medium,hard worker,Technical,hadoop,networks,database security,Testing and Maintainance Services,testing,Systems Security Administrator
1,4,6,yes,no,excellent,excellent,hard worker,Technical,app development,Computer Architecture,testing,Sales and Marketing,Business process analyst,Systems Security Administrator
7,6,6,no,no,excellent,excellent,smart worker,Management,full stack,networks,data science,Finance,testing,Systems Security Administrator
8,2,2,yes,yes,medium,medium,smart worker,Management,shell programming,distributed computing,game development,Product based,system developer,Systems Security Administrator
1,2,9,no,yes,medium,excellent,hard worker,Management,distro making,distributed computing,web technologies,Cloud Services,testing,Systems Security Administrator
5,5,2,no,yes,poor,medium,smart worker,Management,shell programming,Computer Architecture,data science,Testing and Maintainance Services,developer,Systems Security Administrator
2,7,5,yes,yes,poor,excellent,smart worker,Technical,app development,IOT,game development,Sales and Marketing,security,Systems Security Administrator
6,7,3,yes,no,excellent,poor,smart worker,Technical,full stack,IOT,system designing,product development,Business process analyst,Systems Security Administrator
6,1,6,yes,yes,poor,excellent,smart worker,Technical,python,data engineering,AWS,Cloud Services,system developer,Systems Security Administrator
5,2,2,yes,yes,excellent,excellent,hard worker,Technical,python,Software Engineering,data science,Finance,Business process analyst,Systems Security Administrator
4,6,1,no,yes,medium,poor,hard worker,Technical,distro making,distributed computing,system designing,SAaS services,cloud computing,Systems Security Administrator
2,9,2,yes,yes,excellent,excellent,smart worker,Management,hadoop,Computer Architecture,AWS,Service Based,testing,Systems Security Administrator
6,7,2,yes,yes,poor,medium,smart worker,Management,machine learning,parallel computing,ethical hacking,Web Services,developer,Systems Security Administrator
2,3,6,no,no,medium,medium,smart worker,Technical,r programming,Software Engineering,AWS,Finance,developer,Systems Security Administrator
1,3,5,yes,no,poor,poor,smart worker,Technical,python,data engineering,system designing,Product based,testing,Systems Security Administrator
2,9,1,yes,yes,excellent,poor,smart worker,Management,shell programming,networks,data science,Web Services,cloud computing,Systems Security Administrator
3,5,7,yes,no,excellent,medium,hard worker,Technical,distro making,IOT,system designing,Cloud Services,Business process analyst,Systems Security Administrator
3,2,5,no,no,excellent,poor,hard worker,Management,information security,hacking,data science,Sales and Marketing,Business process analyst,Systems Security Administrator
2,9,5,yes,no,poor,poor,hard worker,Technical,hadoop,IOT,system designing,product development,system developer,Systems Security Administrator
4,4,3,yes,yes,excellent,excellent,hard worker,Management,distro making,programming,web technologies,Sales and Marketing,developer,Systems Security Administrator
3,3,7,yes,no,poor,medium,hard worker,Management,information security,networks,testing,Sales and Marketing,testing,Systems Security Administrator
1,5,2,no,no,poor,excellent,hard worker,Technical,r programming,data engineering,web technologies,Service Based,security,Systems Security Administrator
2,6,6,no,no,excellent,excellent,smart worker,Management,full stack,hacking,web technologies,Service Based,system developer,Systems Security Administrator
8,9,3,no,yes,excellent,poor,smart worker,Management,distro making,Management,web technologies,Service Based,security,Systems Security Administrator
3,3,2,no,yes,medium,medium,smart worker,Management,full stack,networks,AWS,Service Based,Business process analyst,Systems Security Administrator
8,6,1,no,no,excellent,poor,hard worker,Technical,distro making,parallel computing,database security,Cloud Services,Business process analyst,Systems Security Administrator
5,6,3,no,yes,poor,excellent,smart worker,Management,information security,hacking,game development,Cloud Services,testing,Systems Security Administrator
2,6,4,yes,no,excellent,medium,hard worker,Technical,distro making,Computer Architecture,game development,BPA,testing,Systems Security Administrator
5,8,6,yes,yes,poor,medium,hard worker,Technical,information security,Software Engineering,web technologies,Finance,Business process analyst,Systems Security Administrator
1,2,4,no,no,medium,medium,hard worker,Technical,hadoop,IOT,AWS,Service Based,cloud computing,Systems Security Administrator
2,1,5,no,yes,medium,excellent,hard worker,Technical,distro making,Computer Architecture,ethical hacking,Testing and Maintainance Services,testing,Systems Security Administrator
8,4,6,yes,no,medium,poor,hard worker,Management,full stack,Software Engineering,ethical hacking,Service Based,cloud computing,Systems Security Administrator
6,5,2,yes,yes,poor,medium,hard worker,Technical,hadoop,IOT,data science,SAaS services,security,Systems Security Administrator
3,8,2,yes,no,excellent,medium,smart worker,Management,shell programming,parallel computing,database security,Cloud Services,security,Systems Security Administrator
4,2,1,no,yes,poor,excellent,smart worker,Management,r programming,distributed computing,ethical hacking,Finance,system developer,Systems Security Administrator
2,6,7,yes,no,excellent,medium,smart worker,Technical,r programming,distributed computing,system designing,Service Based,security,Systems Security Administrator
9,7,7,no,yes,excellent,medium,hard worker,Management,machine learning,IOT,data science,Cloud Services,security,Systems Security Administrator
8,3,6,no,no,medium,medium,smart worker,Management,shell programming,Computer Architecture,testing,Cloud Services,developer,Systems Security Administrator
3,4,2,no,no,poor,medium,hard worker,Technical,hadoop,Computer Architecture,web technologies,Web Services,Business process analyst,Systems Security Administrator
1,6,5,yes,no,excellent,excellent,smart worker,Management,distro making,Computer Architecture,data science,Web Services,cloud computing,Systems Security Administrator
4,6,7,yes,no,poor,poor,hard worker,Technical,distro making,hacking,database security,Sales and Marketing,Business process analyst,Systems Security Administrator
1,2,9,no,no,poor,medium,hard worker,Technical,machine learning,IOT,AWS,Finance,developer,Systems Security Administrator
3,2,2,no,yes,medium,excellent,smart worker,Technical,app development,IOT,database security,Product based,Business process analyst,Systems Security Administrator
5,2,7,yes,yes,poor,medium,hard worker,Technical,information security,networks,game development,Testing and Maintainance Services,system developer,Systems Security Administrator
1,3,6,yes,yes,poor,medium,hard worker,Management,information security,IOT,testing,Sales and Marketing,Business process analyst,Systems Security Administrator
7,2,6,no,no,excellent,medium,smart worker,Technical,shell programming,IOT,web technologies,Web Services,system developer,Technical Support
4,8,5,yes,yes,medium,poor,hard worker,Technical,hadoop,Computer Architecture,AWS,SAaS services,system developer,Technical Support
1,6,9,no,yes,poor,excellent,hard worker,Technical,shell programming,parallel computing,ethical hacking,product development,security,Technical Support
5,1,7,yes,no,poor,medium,smart worker,Management,app development,hacking,game development,Web Services,security,Technical Support
7,2,4,yes,yes,excellent,medium,smart worker,Management,shell programming,IOT,web technologies,Testing and Maintainance Services,testing,Technical Support
2,8,6,no,yes,poor,medium,hard worker,Management,distro making,parallel computing,database security,Cloud Services,security,Technical Support
2,7,9,yes,no,poor,medium,hard worker,Technical,shell programming,data engineering,game development,BPA,testing,Technical Support
3,7,3,no,no,poor,excellent,smart worker,Technical,distro making,Computer Architecture,AWS,Web Services,security,Technical Support
9,3,3,yes,yes,medium,poor,hard worker,Management,distro making,Software Engineering,system designing,BPA,Business process analyst,Technical Support
5,9,2,yes,yes,poor,poor,hard worker,Management,shell programming,IOT,game development,Cloud Services,developer,Technical Support
5,3,6,no,no,excellent,medium,hard worker,Management,distro making,hacking,system designing,Service Based,Business process analyst,Technical Support
2,7,1,yes,yes,medium,poor,hard worker,Technical,information security,IOT,AWS,Finance,developer,Technical Support
9,1,5,no,no,excellent,medium,smart worker,Technical,information security,networks,web technologies,Sales and Marketing,cloud computing,Technical Support
7,3,1,yes,no,excellent,excellent,smart worker,Management,distro making,hacking,data science,product development,testing,Technical Support
9,6,7,yes,yes,poor,medium,smart worker,Technical,app development,data engineering,ethical hacking,product development,security,Technical Support
4,1,3,yes,no,excellent,poor,smart worker,Management,shell programming,data engineering,data science,Sales and Marketing,security,Technical Support
7,3,4,no,yes,poor,excellent,hard worker,Technical,information security,IOT,testing,BPA,security,Technical Support
3,6,4,yes,yes,medium,medium,smart worker,Management,python,IOT,web technologies,Product based,system developer,Technical Support
4,4,8,no,no,medium,medium,smart worker,Technical,r programming,Software Engineering,ethical hacking,Finance,system developer,Technical Support
2,4,1,no,yes,medium,poor,smart worker,Management,python,distributed computing,database security,Web Services,security,Technical Support
8,7,8,no,no,medium,excellent,smart worker,Management,machine learning,Computer Architecture,data science,Service Based,security,Technical Support
4,5,7,yes,yes,excellent,medium,hard worker,Management,machine learning,distributed computing,web technologies,product development,testing,Technical Support
7,7,2,yes,no,medium,poor,smart worker,Management,shell programming,distributed computing,web technologies,SAaS services,developer,Technical Support
1,3,2,no,no,poor,medium,smart worker,Management,full stack,Software Engineering,testing,Service Based,cloud computing,Technical Support
1,7,5,yes,yes,excellent,poor,smart worker,Management,distro making,IOT,AWS,Cloud Services,cloud computing,Technical Support
3,9,2,no,no,excellent,medium,smart worker,Management,full stack,data engineering,database security,SAaS services,cloud computing,Technical Support
9,7,8,no,no,medium,medium,smart worker,Management,shell programming,Management,testing,Finance,Business process analyst,Technical Support
2,1,7,no,yes,excellent,medium,smart worker,Technical,full stack,programming,game development,SAaS services,security,Technical Support
9,3,5,no,no,medium,poor,hard worker,Management,distro making,Software Engineering,testing,SAaS services,developer,Technical Support
6,6,3,yes,yes,medium,medium,hard worker,Technical,app development,networks,database security,Sales and Marketing,security,Technical Support
3,3,8,yes,yes,medium,medium,smart worker,Management,r programming,data engineering,web technologies,Testing and Maintainance Services,testing,Technical Support
7,4,9,yes,yes,poor,excellent,smart worker,Technical,app development,Computer Architecture,testing,product development,cloud computing,Technical Support
8,4,3,yes,yes,excellent,poor,smart worker,Technical,distro making,hacking,testing,SAaS services,testing,Technical Support
5,7,4,no,no,medium,medium,smart worker,Technical,shell programming,programming,database security,BPA,security,Technical Support
6,1,4,no,yes,medium,medium,hard worker,Management,full stack,IOT,game development,BPA,testing,Technical Support
5,5,4,yes,no,medium,excellent,hard worker,Technical,app development,Software Engineering,system designing,Cloud Services,cloud computing,Technical Support
1,8,8,no,yes,poor,poor,hard worker,Management,shell programming,distributed computing,web technologies,SAaS services,Business process analyst,Technical Support
3,7,2,yes,yes,poor,excellent,hard worker,Technical,full stack,IOT,ethical hacking,Testing and Maintainance Services,testing,Technical Support
8,9,1,no,no,excellent,poor,smart worker,Technical,full stack,Management,data science,Product based,security,Technical Support
6,2,9,yes,no,medium,poor,smart worker,Management,python,hacking,AWS,Product based,security,Technical Support
5,2,2,no,yes,medium,excellent,hard worker,Technical,full stack,Software Engineering,AWS,Cloud Services,Business process analyst,Technical Support
5,2,5,no,no,poor,medium,hard worker,Technical,app development,networks,web technologies,product development,system developer,Technical Support
2,9,9,no,no,medium,poor,hard worker,Management,hadoop,hacking,AWS,Service Based,developer,Technical Support
2,1,4,no,yes,poor,medium,smart worker,Management,machine learning,Management,data science,Web Services,security,Technical Support
2,7,5,no,no,excellent,poor,smart worker,Technical,information security,IOT,data science,Finance,Business process analyst,Technical Support
4,6,7,no,no,excellent,poor,smart worker,Management,information security,programming,web technologies,Product based,testing,Technical Support
7,1,8,no,yes,poor,excellent,smart worker,Technical,hadoop,distributed computing,web technologies,Testing and Maintainance Services,testing,Technical Support
1,2,4,yes,yes,medium,poor,smart worker,Technical,information security,distributed computing,data science,Sales and Marketing,developer,Technical Support
5,4,6,no,yes,excellent,excellent,smart worker,Management,shell programming,networks,web technologies,Web Services,cloud computing,Technical Support
7,5,2,no,yes,medium,poor,smart worker,Technical,distro making,distributed computing,database security,BPA,Business process analyst,Technical Support
